 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
   364      7     0.83651     0.83651     0.83651     0.83651     0.83651     0.83651     0.83651     0.83651     0.83651     0.83651
   364      8     0.70807     1.10071     1.06210     0.70807     1.10071     1.10071     1.10071     1.35610     1.10071     1.10071
   364      9     1.78821     1.78821     1.08750     1.08750     1.78821     1.08750     1.08750     1.08750     1.08750     1.08750
   364     10     1.80547     1.80547     1.98553     1.80547     1.98553     1.98553     1.98553     1.26605     1.98553     1.98553
   364     11     2.20197     2.51839     2.43716     2.20197     2.20197     2.33338     1.06210     2.51839     2.51839     2.51839
   364     12     2.62303     2.62303     2.62303     2.62303     2.54779     2.62303     2.62303     2.44988     2.54779     2.62303
   364     13     2.58830     2.58830     2.58830     2.58830     2.58830     2.58830     2.58830     2.24056     2.24056     2.58830
   365      6     0.36916     0.35403     0.35403     0.35403     0.36916     0.36916     0.36916     0.36916     0.36916     0.35403
   365      7     0.86060     0.86060     0.86060     0.86060     0.86060     0.86060     0.86060     0.86060     0.86060     0.86060
   365      8     1.25821     1.25821     1.36324     1.36324     1.36324     0.70807     1.25821     1.25821     1.25821     1.36324
   365      9     1.11454     1.73281     1.11454     1.11454     1.11454     1.11454     1.57863     1.11454     1.11454     1.11454
   365     10     1.84619     2.03293     1.84619     1.84619     1.06210     1.84619     1.84619     2.34513     1.06210     2.03293
   365     11     2.48895     2.24056     2.24056     2.48895     2.48895     2.48895     2.24056     2.24306     1.87653     2.24056
   365     12     2.66148     2.48406     1.87653     2.66148     2.66148     2.66148     2.66148     2.24056     2.66148     2.66148
   366      6     0.40006     0.40006     0.40006     0.40006     0.40006     0.40006     0.40006     0.40006     0.40006     0.40006
   366      7     0.94782     1.16891     0.94782     0.94782     0.94782     0.94782     0.94782     0.94782     1.16891     0.94782
   366      8     1.40863     1.72942     1.54231     1.54231     1.54231     1.40863     1.54231     1.54231     1.72942     1.72942
   366      9     2.20085     2.20085     2.20085     2.28932     2.20085     2.20085     2.20085     2.20085     2.20085     2.28932
   366     10     2.68713     2.68713     2.68713     2.68713     2.58357     2.68713     2.68713     2.68713     2.68713     2.68713
   366     11     2.95382     2.84830     2.95382     2.95382     2.84830     2.95382     2.95382     2.84830     2.84830     2.95382
   366     12     2.89807     2.89807     2.89807     2.89807     2.97422     2.89807     2.89807     2.89807     2.89807     2.89807
   366     13     2.94982     2.87297     2.87297     2.94982     2.24056     2.24056     2.87297     2.94982     2.87297     2.94982
   705      7     0.73877     0.73877     0.73877     0.73877     0.73877     0.73877     0.73877     0.73877     0.73877     0.73877
   705      8     0.97782     0.97782     0.97782     0.97782     0.97782     0.97782     0.97782     0.97782     0.97782     0.97782
   705      9     1.46234     1.46234     1.34885     1.46234     1.34885     1.53477     1.53477     1.46234     1.46234     1.46234
   705     10     1.59343     1.12028     1.73870     1.14225     1.14225     1.89191     1.12028     1.14225     1.14225     1.73870
   705     11     1.93777     1.93777     1.77580     1.93777     1.77580     1.93777     1.93777     1.93777     1.93777     1.77580
   705     12     2.20295     2.20295     2.04633     2.26073     2.04633     2.04633     2.20295     2.20295     2.20295     2.04633
   705     13     1.06210     2.05718     2.05718     1.87653     2.05718     2.05718     1.06210     2.05718     1.51250     1.87653
   706      7     0.77889     0.77889     0.77889     0.77889     0.77889     0.77889     0.77889     0.77889     0.77889     0.77889
   706      8     0.35403     1.02946     1.02946     1.02946     1.02946     1.02946     1.02946     1.02946     1.02946     1.02946
   706      9     0.00000     1.55755     1.70485     1.55755     1.55755     1.42974     1.64351     1.55755     1.55755     1.42974
   706     10     1.12028     1.12028     1.19633     1.19633     1.12028     1.19633     1.12028     1.19633     1.12028     1.12028
   706     11     0.70807     2.32189     2.05500     2.04313     2.05500     2.16185     2.05500     2.05500     2.05500     1.06210
   706     12     2.16908     2.27253     2.16908     2.16908     1.06210     2.42355     2.42355     2.42355     0.70807     2.27253
   706     13     2.18114     0.70807     2.39167     2.18114     2.39167     0.70807     2.26503     2.26503     2.39167     2.39167
   707      6     0.35403     0.35403     0.35899     0.35899     0.35403     0.35403     0.35403     0.35403     0.35403     0.35403
   707      7     0.83437     0.83437     0.83437     0.83437     0.83437     0.83437     0.83437     0.83437     0.83437     0.83437
   707      8     0.00000     1.09910     1.09910     1.09910     1.09910     0.00000     0.70807     1.09910     0.00000     1.09910
   707      9     1.68304     1.68304     1.78681     1.08682     1.68304     1.68304     1.68304     1.68304     1.68304     1.68304
   707     10     2.20362     2.20362     2.20362     1.98561     2.20362     2.20362     1.80554     2.20362     1.98561     2.20362
   707     11     2.51982     2.51982     2.51982     1.06210     2.51982     2.51982     2.51982     2.51982     2.20304     2.51982
   707     12     2.62481     2.62481     2.62481     2.62481     2.54948     2.45146     2.24056     2.62481     2.45146     2.45146
   707     13     1.87653     2.44353     2.58897     2.58897     1.87653     2.58897     2.24056     0.70807     2.58897     1.87653
   708      6     0.38387     0.38387     0.38387     0.38387     0.38387     0.38387     0.38387     0.38387     0.38387     0.38387
   708      7     0.90126     0.90126     0.90126     0.90126     0.70807     0.00000     0.90126     0.90126     0.90126     0.53491
   708      8     1.32825     1.44659     1.32825     1.55074     1.44659     1.44659     1.44659     1.60858     1.60858     1.44659
   708      9     1.12028     1.96012     1.12028     1.12028     1.16513     1.12028     1.12028     1.12028     1.16513     1.12028
   708     10     2.50849     2.50849     2.15409     2.50849     2.15409     2.50849     2.50849     2.15409     2.50849     2.50849
   708     11     2.54439     2.66539     2.54439     2.48519     2.54439     2.76011     2.76011     2.24056     2.54439     2.66539
   708     12     2.24056     2.78268     2.78268     2.24056     2.24056     2.86982     2.24056     2.78268     2.24056     2.63278
   708     13     2.24056     2.64682     2.43816     2.64682     2.02285     2.66850     2.43816     2.02285     2.24056     2.43816
   709      6     0.41227     0.41227     0.41227     0.41227     0.41227     0.41227     0.41227     0.35403     0.35403     0.35403
   709      7     0.97805     0.97805     0.97805     0.97805     0.97805     0.97805     0.97805     0.97805     1.21425     0.97805
   709      8     1.59745     1.59745     1.72103     1.59745     1.59745     1.59745     1.59745     1.59745     1.59745     1.59745
   709      9     2.37160     2.27720     2.27720     1.81489     2.27720     2.37160     2.37160     2.01092     2.27720     2.37160
   709     10     2.66463     2.66463     2.66463     2.24056     2.52791     2.52791     2.66463     2.66463     2.52791     2.66463
   709     11     2.93220     2.24056     2.93220     2.24056     2.93220     2.93220     2.93220     2.93220     2.93220     2.93220
   709     12     2.99623     2.99623     2.99623     2.99623     2.99623     2.99623     2.99623     2.99623     2.99623     2.99623
   709     13     2.99224     2.99224     2.99224     3.04629     2.99224     2.99224     2.99224     2.99224     2.99224     2.99224
   710      6     0.70807     0.73398     0.73398     0.73398     0.73398     0.73398     0.73398     0.43722     0.73398     0.73398
   710      7     1.31792     1.04716     1.31792     0.70807     1.04716     1.31792     1.04716     1.31792     1.06210     1.31792
   710      8     1.08797     1.08797     1.08797     1.57059     1.08797     1.08797     1.08797     1.87650     1.87650     1.73517
   710      9     2.59207     2.59207     2.59207     2.59207     2.59207     1.51250     2.59207     1.06210     2.59207     2.59207
